"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_400_400"
"07/31/2026 17:21:17:390 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","sheep-reproduce","wolf-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"105","4","16","250","1500","49.78854286812764","19","0"
"106","4","18","150","1500","51.59554017685505","43","0"
"115","4","18","225","112","45.828527489427145","0","0"
"108","4","18","150","1500","75.93233371780084","24","0"
"116","4","18","225","114","48.44290657439446","0","0"
"117","4","18","225","56","38.600538254517495","0","0"
"118","4","18","250","51","35.371011149557866","0","0"
"120","4","18","250","57","37.13956170703575","0","0"
"119","4","18","250","90","41.44559784698193","0","0"
"121","4","20","150","54","40.484429065743946","0","0"
"122","4","20","150","69","47.712418300653596","0","0"
"114","4","18","200","617","42.75278738946559","0","0"
"124","4","20","175","70","46.28988850442138","0","0"
"127","4","20","200","86","49.25028835063437","0","0"
"128","4","20","200","61","38.63898500576701","0","0"
"110","4","18","175","1500","38.0238369857747","32","0"
"129","4","20","200","59","40.21530180699731","0","0"
"111","4","18","175","1500","54.248366013071895","21","0"
"131","4","20","225","37","37.37024221453287","0","0"
"132","4","20","225","68","40.330642060745866","0","0"
"134","4","20","250","47","33.14109957708574","0","0"
"133","4","20","250","118","48.94271434063822","0","0"
"135","4","20","250","58","39.25413302575932","0","0"
"113","4","18","200","1500","57.09342560553633","20","0"
"136","6","4","150","91","50.403690888119954","0","0"
"137","6","4","150","69","45.17493271818531","0","0"
"138","6","4","150","137","66.16685890042291","0","0"
"139","6","4","175","142","59.13110342176086","0","0"
"142","6","4","200","89","44.559784698193006","0","0"
"143","6","4","200","74","39.06189926951173","0","0"
"144","6","4","200","78","42.86812764321415","0","0"
"141","6","4","175","488","44.44444444444444","0","0"
"145","6","4","225","138","50.13456362937332","0","0"
"147","6","4","225","92","41.061130334486734","0","0"
"125","4","20","175","1500","42.67589388696655","15","0"
"146","6","4","225","183","58.74663590926567","0","0"
"126","4","20","175","1500","57.78546712802768","10","0"
"123","4","20","150","1500","78.08535178777393","13","0"
"150","6","4","250","72","38.062283737024224","0","0"
"151","6","6","150","70","45.059592464436754","0","0"
"149","6","4","250","125","43.3679354094579","0","0"
