"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/13/2026 17:44:39:473 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"112","4","18","200","125","44.29065743944636","0","0"
"113","4","18","200","172","57.36255286428297","0","0"
"115","4","18","225","66","34.21760861207228","0","0"
"114","4","18","200","152","51.94156093810073","0","0"
"116","4","18","225","115","40.561322568242986","0","0"
"118","4","18","250","78","29.334871203383315","0","0"
"117","4","18","225","94","37.985390234525184","0","0"
"120","4","18","250","69","30.91118800461361","0","0"
"107","4","18","150","778","15.609381007304883","0","0"
"119","4","18","250","161","49.48096885813149","0","0"
"122","4","20","150","122","52.32602845059593","0","0"
"124","4","20","175","93","37.17800845828528","0","0"
"125","4","20","175","81","40.52287581699346","0","0"
"127","4","20","200","84","39.13879277201077","0","0"
"126","4","20","175","148","52.979623221837755","0","0"
"108","4","18","150","1002","13.80238369857747","0","0"
"128","4","20","200","59","38.600538254517495","0","0"
"123","4","20","150","414","7.535563244905806","0","0"
"130","4","20","225","68","36.60130718954248","0","0"
"131","4","20","225","81","39.52326028450596","0","0"
"133","4","20","250","70","37.40868896578239","0","0"
"135","4","20","250","65","35.6401384083045","0","0"
"132","4","20","225","226","55.59400230680507","0","0"
"134","4","20","250","152","45.32871972318339","0","0"
"129","4","20","200","365","14.071510957324106","0","0"
"109","4","18","175","1471","10.649750096116879","0","0"
"121","4","20","150","1500","16.99346405228758","12","0"
"136","6","4","150","1500","55.67089580930411","22","0"
"138","6","4","150","1500","55.70934256055364","38","0"
"137","6","4","150","1500","49.01960784313726","34","0"
"139","6","4","175","1500","65.43637062668205","7","0"
"145","6","4","225","232","79.0080738177624","0","0"
"140","6","4","175","1500","72.08765859284891","8","0"
"146","6","4","225","140","49.09650134563629","0","0"
"141","6","4","175","1500","68.319876970396","19","0"
"147","6","4","225","704","47.90465205690119","0","0"
"149","6","4","250","135","50.711264898116106","0","0"
"150","6","4","250","220","66.55132641291812","0","0"
"142","6","4","200","1500","41.906958861976165","17","0"
"144","6","4","200","1500","72.74125336409074","14","0"
"143","6","4","200","1500","48.981161091887735","33","0"
"148","6","4","250","1500","69.39638600538254","8","0"
"151","6","6","150","1500","49.63475586312956","24","0"
"152","6","6","150","1500","65.16724336793541","26","0"
"157","6","6","200","151","60.32295271049596","0","0"
"153","6","6","150","1500","37.754709727028064","22","0"
"154","6","6","175","1500","46.05920799692426","41","0"
"155","6","6","175","1500","55.094194540561325","11","0"
"161","6","6","225","102","43.44482891195694","0","0"
"156","6","6","175","1500","54.0561322568243","13","0"
"164","6","6","250","113","50.941945405613225","0","0"
"165","6","6","250","164","56.01691657054979","0","0"
"160","6","6","225","1061","32.641291810841984","0","0"
"158","6","6","200","1500","51.095732410611305","8","0"
"159","6","6","200","1500","51.05728565936178","19","0"
"162","6","6","225","1500","26.29757785467128","34","0"
"163","6","6","250","1500","57.631680123029604","17","0"
"166","6","8","150","1500","50.0961168781238","40","0"
"167","6","8","150","1500","41.09957708573626","63","0"
"168","6","8","150","1500","36.332179930795846","29","0"
"169","6","8","175","1500","80.50749711649365","26","0"
"174","6","8","200","98","46.05920799692426","0","0"
"173","6","8","200","477","41.25336409073433","0","0"
"170","6","8","175","1500","60.361399461745485","70","0"
"176","6","8","225","123","48.59669357939254","0","0"
"171","6","8","175","1500","61.74548250672818","38","0"
"178","6","8","250","232","59.05420991926182","0","0"
"172","6","8","200","1066","40.253748558246826","0","0"
"179","6","8","250","519","19.72318339100346","0","0"
"180","6","8","250","487","16.49365628604383","0","0"
"184","6","10","175","169","59.900038446751246","0","0"
"177","6","8","225","1226","38.79277201076509","0","0"
"185","6","10","175","379","42.368319876970396","0","0"
"175","6","8","225","1500","43.637062668204535","93","0"
"181","6","10","150","1130","30.2960399846213","0","0"
"186","6","10","175","411","33.910034602076124","0","0"
"187","6","10","200","407","27.181853133410225","0","0"
"191","6","10","225","121","45.520953479430986","0","0"
